com_id,com_name,inves_round,invse_year,invse_month,invse_day,invse_detail_money,current,com_city,com_prov,scope,com_url,com_born_month,com_born_year,com_des,invst_firms
33390,慧择网(慧择保险),B+轮,2016,8,3,10000,人民币,深圳,广东,金融,http://www.hzins.com,10,2011,慧择保险是一家第三方保险电子商务平台。可为个人和企业提供包括保险垂直交易、 风险评估、理赔协助等在内的一站式保险综合服务。旗下运营品牌：以个人及家庭为服务对象的慧择网、以企业为服务对象的保运通、 以保,"达晨创投 , 赛富基金 , 万融资本 , 考拉产业基金(拉卡拉) , 创东方投资 , "
335,一起作业网,D轮,2015,2,18,10000,美元,嘉定区,上海,教育,http://www.17zuoye.com,11,2007,一起作业网是一个师生家长互动在线作业平台，专注k12中小学线上教学领域，为老师、学生和家长三方提供有价值的个性化互动教学服务。,"顺为基金 , 真格基金 , Tiger老虎基金(中国) , Temasek淡马锡 , DST , H Capital , "
33537,微赛体育,A轮,2016,3,26,--,人民币,朝阳区,北京,体育运动,http://www.wesai.com/,11,2015,微赛体育是微影时代将体育票务单独分拆独立运营的体育营销发行消费平台，业务覆盖演电影、演出、体育三大领域。,"君联资本 , 时尚传媒 , 腾讯 , 中国文化产业投资基金 , 500彩票网 , 华人文化产业基金 , "
33551,中集电商e栈,A轮,2016,3,25,30000,人民币,深圳,广东,电子商务,http://weibo.com/u/5626223254,12,2014,中集电商是一家智能快递物流箱服务商，主打产品为“e栈”，为电商提供端到端快递交付及信息服务，中集集团旗下控股子公司。,"远致富海 , "
33628,U掌柜,B轮,2016,3,29,3000,美元,嘉兴,浙江,电子商务,http://www.urfresh.cn/,6,2015,U掌柜是一家生鲜食品移动电商，坚持从产地直采水果零食，进口，特产，用不同的供应链模式解决不同属性的商品。浙江佳邻电子商务有限公司旗下产品。,"峰尚资本 , 今日资本 , "
3379,意时网,A轮,2015,1,19,50000,人民币,宝山区,上海,金融,http://www.ins110.com/,9,2011,意时网致力于从事旅行安全和旅行保险产品服务，是一家保险产品B2B分销网络，提供“意时零险”手机应用等，隶属于上海意时网络科技有限公司。,"同创伟业 , 力鼎资本 , 国泰君安 , "
33851,小嘀云智能锁,A轮,2016,4,5,12300,人民币,杭州,浙江,硬件,http://www.dessmann.com.cn/,8,2009,小嘀云智能锁是德施曼旗下智能锁品牌，可通过多种方式实现智能开锁，德施曼旗下已有十款智能锁产品。,
34446,华领医药,C轮,2016,4,22,5000,美元,浦东新区,上海,医疗健康,http://www.huamedicine.com/,6,2011,华领医药是一家药物研发公司，目前的研发领域包括2型糖尿病治疗药物和中枢神经系统紊乱治疗药物。,"Venrock , TF Capital泰福资本 , 药明康德 , 通和资本 , 汇桥资本 , 丰实资本- 嘉实基金 , Arch Venture Partners , 斯道资本(富达亚洲) , "
3491,一下科技(秒拍),E轮,2016,11,19,50000,美元,石景山区,北京,文化娱乐,http://yixia.com/,8,2011,秒拍(前身一下视频/拍客)是一个手机视频拍摄、分享工具，定位为“10秒拍大片”，炫一下（北京）科技有限公司开发，旗下应用还有小咖秀等。,"新浪微博(新浪微创投) , KPCB凯鹏华盈中国 , Star VC , Redpoint Ventures红点全球基金 , 晨兴资本 , 红杉资本中国 , "
35131,平安好医生(平安健康),A轮,2016,5,16,50000,美元,深圳,广东,医疗健康,http://www.jk.cn/,8,2014,平安好医生是一个互联网健康管理平台，以家庭医生与专科医生的在线诊疗服务作为切入口，配合大数据的挖掘、分析及应用，用线上、线下相结合的方式，为客户提供形式多样、内容丰富的个性化医疗及健康管理服务。,"中国平安(平安创新投) , 永柏资本PGA Ventures , IDG资本 , "
